demand_change,fuel_change,ebitda_margin
-0.1,-0.15,0.143108252832625
-0.1,-0.075,0.1130770329765756
-0.1,0.0,0.08304581312052621
-0.1,0.075,0.05301459326447698
-0.1,0.15,0.022983373408427585
-0.05,-0.15,0.15160961906184772
-0.05,-0.075,0.12157839920579831
-0.05,0.0,0.09154717934974889
-0.05,0.075,0.06151595949369964
-0.05,0.15,0.03148473963765038
0.0,-0.15,0.15926084866814802
0.0,-0.075,0.1292296288120986
0.0,0.0,0.09919840895604931
0.0,0.075,0.06916718910000003
0.0,0.15,0.039135969243950595
0.05,-0.15,0.16618338974051497
0.05,-0.075,0.13615216988446566
0.05,0.0,0.10612095002841636
0.05,0.075,0.0760897301723669
0.05,0.15,0.04605851031631761
0.1,-0.15,0.17247660889721228
0.1,-0.075,0.14244538904116297
0.1,0.0,0.11241416918511365
0.1,0.075,0.08238294932906433
0.1,0.15,0.052351729473015016
